Restaurant ID,Restaurant Name,Country Code,City,Address,Locality,Locality Verbose,Cuisines,Price range,Currency,Average Cost for two,Aggregate rating,Rating text,Votes,Primary Cuisine,Budget Category,Normalized Votes,Popularity Score
6317637,Le Petit Souffle,162,makati city,"Third Floor, Century City Mall, Kalayaan Avenue, Poblacion, Makati City","Century City Mall, Poblacion, Makati City","Century City Mall, Poblacion, Makati City, Makati City","french, japanese, desserts",3,Botswana Pula(P),1100,4.8,Excellent,314,french,high,0.6185745598688249,0.8575723679606474
6304287,Izakaya Kikufuji,162,makati city,"Little Tokyo, 2277 Chino Roces Avenue, Legaspi Village, Makati City","Little Tokyo, Legaspi Village, Makati City","Little Tokyo, Legaspi Village, Makati City, Makati City",japanese,3,Botswana Pula(P),1200,4.5,Excellent,591,japanese,high,0.6864189389704438,0.8359256816911331
6300002,Heat - Edsa Shangri-La,162,mandaluyong city,"Edsa Shangri-La, 1 Garden Way, Ortigas, Mandaluyong City","Edsa Shangri-La, Ortigas, Mandaluyong City","Edsa Shangri-La, Ortigas, Mandaluyong City, Mandaluyong City","seafood, asian, filipino, indian",4,Botswana Pula(P),4000,4.4,Very Good,270,seafood,high,0.6023962497353107,0.7967188749205932
6318506,Ooma,162,mandaluyong city,"Third Floor, Mega Fashion Hall, SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City, Mandaluyong City","japanese, sushi",4,Botswana Pula(P),1500,4.9,Excellent,365,japanese,high,0.6347105974173649,0.8764131792252096
6314302,Sambo Kojin,162,mandaluyong city,"Third Floor, Mega Atrium, SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City, Mandaluyong City","japanese, korean",4,Botswana Pula(P),1500,4.8,Excellent,229,japanese,high,0.5847570689234528,0.8474271206770357
18189371,Din Tai Fung,162,mandaluyong city,"Ground Floor, Mega Fashion Hall, SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City, Mandaluyong City",chinese,3,Botswana Pula(P),1000,4.4,Very Good,336,chinese,high,0.6258339464928045,0.8037501839478414
6300781,Buffet 101,162,pasay city,"Building K, SM By The Bay, Sunset Boulevard, Mall of Asia Complex (MOA), Pasay City","SM by the Bay, Mall of Asia Complex, Pasay City","SM by the Bay, Mall of Asia Complex, Pasay City, Pasay City","asian, european",4,Botswana Pula(P),2000,4.0,Very Good,520,asian,high,0.6726812630943061,0.7618043789282918
6301290,Vikings,162,pasay city,"Building B, By The Bay, Seaside Boulevard, Mall of Asia Complex (MOA), Pasay City","SM by the Bay, Mall of Asia Complex, Pasay City","SM by the Bay, Mall of Asia Complex, Pasay City, Pasay City","seafood, filipino, asian, european",4,Botswana Pula(P),2000,4.2,Very Good,677,seafood,high,0.7010043883915232,0.798301316517457
6300010,Spiral - Sofitel Philippine Plaza Manila,162,pasay city,"Plaza Level, Sofitel Philippine Plaza Manila, CCP Complex, Pasay City","Sofitel Philippine Plaza Manila, Pasay City","Sofitel Philippine Plaza Manila, Pasay City, Pasay City","european, asian, indian",4,Botswana Pula(P),6000,4.9,Excellent,621,european,high,0.6917345223372974,0.8935203567011892
6314987,Locavore,162,pasig city,"Brixton Technology Center, 10 Brixton Street, Kapitolyo, Pasig City",Kapitolyo,"Kapitolyo, Pasig City",filipino,3,Botswana Pula(P),1100,4.8,Excellent,532,filipino,high,0.6751298715235737,0.874538961457072
6309903,Silantro Fil-Mex,162,pasig city,"75 East Capitol Drive, Kapitolyo, Pasig City",Kapitolyo,"Kapitolyo, Pasig City","filipino, mexican",3,Botswana Pula(P),800,4.9,Excellent,1070,filipino,high,0.7501672222343139,0.9110501666702941
6309455,Mad Mark's Creamery & Good Eats,162,pasig city,"23 East Capitol Drive, Kapitolyo, Pasig City",Kapitolyo,"Kapitolyo, Pasig City","american, ice cream, desserts",3,Botswana Pula(P),900,4.2,Very Good,488,american,high,0.6658651949255716,0.7877595584776714
6318433,Silantro Fil-Mex,162,quezon city,"Second Floor, UP Town Center, Katipunan Avenue, Diliman, Quezon City","UP Town Center, Diliman, Quezon City","UP Town Center, Diliman, Quezon City, Quezon City","filipino, mexican",3,Botswana Pula(P),800,4.8,Excellent,294,filipino,high,0.6115208792480208,0.8554562637744062
